resultId,raceId,date,driverId,constructorId,number,grid,track,position,positionTeNaNt,positionOrder,points,laps,time,milliseconds,fastestLap,rank,fastestLapTime,fastestLapSpeed,statusId
21232,860,3/18/2012,Button,Mclaren,3,2,Sepang,1,1,1,25,58,34:09.6,5649565,56,1,01:29.2,214.053,1
21233,860,3/18/2012,Vettel,Red_Bull,1,6,Monaco,2,2,2,18,58,2.139,5651704,57,2,01:29.4,213.503,1
21234,860,3/18/2012,Hamilton,Mclaren,4,1,Melbourn,3,3,3,15,58,4.075,5653640,57,4,01:29.5,213.214,1
21235,860,3/18/2012,Webber,Red_Bull,2,5,Istanbul,4,4,4,12,58,4.547,5654112,57,3,01:29.4,213.452,1
21236,860,3/18/2012,Alonso,Ferrari,5,12,Velencia,5,5,5,10,58,21.565,5671130,52,7,01:30.3,211.469,1
21237,860,3/18/2012,Kobauashi,Sauber,14,13,Spa,6,6,6,8,58,36.766,5686331,55,10,01:30.6,210.668,1
21238,860,3/18/2012,Raikkonen,Lotus_F1,9,17,Shanghai,7,7,7,6,58,38.014,5687579,50,11,01:30.8,210.346,1
21239,860,3/18/2012,Perez,Sauber,15,22,Suzuka,8,8,8,4,58,39.458,5689023,46,12,01:30.8,210.151,1
21240,860,3/18/2012,Riccardo,Toro_Rosso,16,10,Hockenhein,9,9,9,2,58,39.556,5689121,53,8,01:30.6,210.733,1
21241,860,3/18/2012,Resta,Force_India,11,15,Singapore,10,10,10,1,58,39.737,5689302,57,9,01:30.6,210.703,1
21242,860,3/18/2012,Vergne,Toro_Rosso,17,11,Budapest,11,11,11,0,58,39.848,5689413,52,6,01:30.3,211.476,1
21243,860,3/18/2012,Rosberg,Mercedes,8,7,Montreal,12,12,12,0,58,57.642,5707207,53,14,01:30.9,209.948,1
21244,860,3/18/2012,Maldonado,Williams,18,8,France,13,13,13,0,57,NaN,NaN,53,5,01:30.3,211.523,3
21245,860,3/18/2012,Glock,Marussia,24,20,nurburgring,14,14,14,0,57,NaN,NaN,43,19,01:34.3,202.548,11
21246,860,3/18/2012,Pic,Marussia,25,21,Imola,15,15,15,0,53,NaN,NaN,45,20,01:35.0,200.932,15
21247,860,3/18/2012,B. Senna,Williams,19,14,Monza,16,16,16,0,52,NaN,NaN,49,13,01:30.9,210.123,4
21248,860,3/18/2012,Massa,Ferrari,6,16,Fuji,NaN,R,17,0,46,NaN,NaN,46,15,01:31.9,207.644,4
21249,860,3/18/2012,Kovalaine,Caterham,20,18,Interlagos,NaN,R,18,0,38,NaN,NaN,26,17,01:33.7,203.759,22
21250,860,3/18/2012,Petrov,Caterham,21,19,Indianapolis,NaN,R,19,0,34,NaN,NaN,27,16,01:33.2,204.806,38
21251,860,3/18/2012,Schumacher,Mercedes,7,4,Catalunya,NaN,R,20,0,10,NaN,NaN,4,18,01:34.0,203.048,6
21252,860,3/18/2012,Grosjean,Lotus_F1,10,3,Bahrain,NaN,R,21,0,1,NaN,NaN,NaN,0,NaN,NaN,4
21253,860,3/18/2012,Hulkenberg,Force_India,12,9,Silverstone,NaN,R,22,0,0,NaN,NaN,NaN,0,NaN,NaN,4
21254,860,3/18/2012,Rosa,HRT,22,0,Silverstone,NaN,F,23,0,0,NaN,NaN,NaN,0,NaN,NaN,81
21255,860,3/18/2012,Karthikeyan,HRT,23,0,Silverstone,NaN,F,24,0,0,NaN,NaN,NaN,0,NaN,NaN,81
21256,861,3/25/2012,Alonso,Ferrari,5,8,France,1,1,1,25,56,44:51.8,9891812,53,7,01:41.7,196.25,1
21257,861,3/25/2012,Perez,Sauber,15,9,Silverstone,2,2,2,18,56,2.263,9894075,54,3,01:41.0,197.531,1
21258,861,3/25/2012,Hamilton,Mclaren,4,1,Melbourn,3,3,3,15,56,14.591,9906403,50,6,01:41.5,196.523,1
